start_date,end_date,category,start,stop,miles,purpose,day,month,route,trip_duration,hour,is_weekend,high_distance
2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,Friday,January,Fort Pierce - Fort Pierce,6.0,21.0,False,False
2016-01-02 01:25:00,2016-01-02 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,Meeting,Saturday,January,Fort Pierce - Fort Pierce,12.0,1.0,True,False
2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,Saturday,January,Fort Pierce - Fort Pierce,13.0,20.0,True,False
2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,Tuesday,January,Fort Pierce - Fort Pierce,14.0,17.0,False,False
2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,Wednesday,January,Fort Pierce - West Palm Beach,67.0,14.0,False,True
2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,Wednesday,January,West Palm Beach - West Palm Beach,4.0,17.0,False,False
2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,Wednesday,January,West Palm Beach - Palm Beach,5.0,17.0,False,False
2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,Thursday,January,Cary - Cary,6.0,13.0,False,False
2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,Morrisville,8.3,Meeting,Sunday,January,Cary - Morrisville,20.0,8.0,True,False
2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,Sunday,January,Jamaica - New York,27.0,12.0,True,False
2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,Queens,10.8,Meeting,Sunday,January,New York - Queens,43.0,15.0,True,False
2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,New York,7.5,Meeting,Sunday,January,Elmhurst - New York,35.0,18.0,True,False
2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,Sunday,January,Midtown - East Harlem,20.0,19.0,True,False
2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,NoMad,6.4,Temporary Site,Monday,January,East Harlem - NoMad,26.0,8.0,False,False
2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,Monday,January,Flatiron District - Midtown,7.0,11.0,False,False
2016-01-11 13:32:00,2016-01-11 13:46:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,Monday,January,Midtown - Midtown East,14.0,13.0,False,False
2016-01-11 14:30:00,2016-01-11 14:43:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,Monday,January,Midtown East - Midtown,13.0,14.0,False,False
2016-01-12 12:33:00,2016-01-12 12:49:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,Tuesday,January,Midtown - Hudson Square,16.0,12.0,False,False
2016-01-12 12:53:00,2016-01-12 13:09:00,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,Tuesday,January,Hudson Square - Lower Manhattan,16.0,12.0,False,False
2016-01-12 14:42:00,2016-01-12 14:56:00,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,Tuesday,January,Lower Manhattan - Hudson Square,14.0,14.0,False,False
2016-01-12 15:13:00,2016-01-12 15:28:00,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,Tuesday,January,Hudson Square - Hell's Kitchen,15.0,15.0,False,False
2016-01-12 15:42:00,2016-01-12 15:54:00,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,Tuesday,January,Hell's Kitchen - Midtown,12.0,15.0,False,False
2016-01-12 16:02:00,2016-01-12 17:00:00,Business,New York,Queens County,15.1,Meeting,Tuesday,January,New York - Queens County,58.0,16.0,False,False
2016-01-13 13:54:00,2016-01-13 14:07:00,Business,Downtown,Gulfton,11.2,Meeting,Wednesday,January,Downtown - Gulfton,13.0,13.0,False,False
2016-01-13 15:00:00,2016-01-13 15:28:00,Business,Gulfton,Downtown,11.8,Meeting,Wednesday,January,Gulfton - Downtown,28.0,15.0,False,False
2016-01-14 16:29:00,2016-01-14 17:05:00,Business,Houston,Houston,21.9,Customer Visit,Thursday,January,Houston - Houston,36.0,16.0,False,True
2016-01-14 21:39:00,2016-01-14 21:45:00,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,Thursday,January,Eagan Park - Jamestown Court,6.0,21.0,False,False
2016-01-15 00:41:00,2016-01-15 01:01:00,Business,Morrisville,Cary,8.0,Errand/Supplies,Friday,January,Morrisville - Cary,20.0,0.0,False,False
2016-01-15 11:43:00,2016-01-15 12:03:00,Business,Cary,Durham,10.4,Meal/Entertain,Friday,January,Cary - Durham,20.0,11.0,False,False
2016-01-15 13:26:00,2016-01-15 13:44:00,Business,Durham,Cary,10.4,Meal/Entertain,Friday,January,Durham - Cary,18.0,13.0,False,False
2016-01-18 14:55:00,2016-01-18 15:06:00,Business,Cary,Cary,4.8,Meal/Entertain,Monday,January,Cary - Cary,11.0,14.0,False,False
2016-01-18 16:13:00,2016-01-18 16:24:00,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,Monday,January,Farmington Woods - Whitebridge,11.0,16.0,False,False
2016-01-19 09:09:00,2016-01-19 09:23:00,Business,Whitebridge,Lake Wellingborough,7.2,Meeting,Tuesday,January,Whitebridge - Lake Wellingborough,14.0,9.0,False,False
2016-01-19 10:55:00,2016-01-19 11:09:00,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,Tuesday,January,Lake Wellingborough - Whitebridge,14.0,10.0,False,False
2016-01-20 10:36:00,2016-01-20 11:11:00,Business,Cary,Raleigh,17.1,Meeting,Wednesday,January,Cary - Raleigh,35.0,10.0,False,False
2016-01-20 11:48:00,2016-01-20 12:19:00,Business,Fayetteville Street,Umstead,15.1,Meeting,Wednesday,January,Fayetteville Street - Umstead,31.0,11.0,False,False
2016-01-20 13:25:00,2016-01-20 14:19:00,Business,Raleigh,Cary,40.2,Customer Visit,Wednesday,January,Raleigh - Cary,54.0,13.0,False,True
2016-01-21 14:25:00,2016-01-21 14:29:00,Business,Cary,Cary,1.6,Errand/Supplies,Thursday,January,Cary - Cary,4.0,14.0,False,False
2016-01-21 14:43:00,2016-01-21 14:51:00,Business,Cary,Cary,2.4,Meal/Entertain,Thursday,January,Cary - Cary,8.0,14.0,False,False
2016-01-21 16:01:00,2016-01-21 16:06:00,Business,Cary,Cary,1.0,Meal/Entertain,Thursday,January,Cary - Cary,5.0,16.0,False,False
2016-01-26 10:41:00,2016-01-26 10:50:00,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,Tuesday,January,Whitebridge - Hazelwood,9.0,10.0,False,False
2016-01-26 12:33:00,2016-01-26 12:41:00,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,Tuesday,January,Hazelwood - Whitebridge,8.0,12.0,False,False
2016-01-26 16:24:00,2016-01-26 16:32:00,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,Tuesday,January,Whitebridge - Westpark Place,8.0,16.0,False,False
2016-01-26 17:17:00,2016-01-26 17:22:00,Business,Cary,Cary,1.4,Errand/Supplies,Tuesday,January,Cary - Cary,5.0,17.0,False,False
2016-01-26 17:27:00,2016-01-26 17:29:00,Business,Cary,Cary,0.5,Errand/Supplies,Tuesday,January,Cary - Cary,2.0,17.0,False,False
2016-01-27 09:24:00,2016-01-27 09:31:00,Business,Cary,Cary,1.8,Meeting,Wednesday,January,Cary - Cary,7.0,9.0,False,False
2016-01-27 10:19:00,2016-01-27 10:48:00,Business,Cary,Raleigh,18.7,Customer Visit,Wednesday,January,Cary - Raleigh,29.0,10.0,False,False
2016-01-27 12:34:00,2016-01-27 12:44:00,Business,Fairmont,Meredith Townes,3.4,Customer Visit,Wednesday,January,Fairmont - Meredith Townes,10.0,12.0,False,False
2016-01-27 14:05:00,2016-01-27 14:13:00,Business,Raleigh,Raleigh,2.7,Customer Visit,Wednesday,January,Raleigh - Raleigh,8.0,14.0,False,False
2016-01-27 14:46:00,2016-01-27 15:08:00,Business,Raleigh,Cary,12.9,Customer Visit,Wednesday,January,Raleigh - Cary,22.0,14.0,False,False
2016-01-28 12:28:00,2016-01-28 13:00:00,Business,Cary,Raleigh,19.0,Temporary Site,Thursday,January,Cary - Raleigh,32.0,12.0,False,False
2016-01-28 15:11:00,2016-01-28 15:31:00,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,Thursday,January,Meredith Townes - Leesville Hollow,20.0,15.0,False,False
2016-01-28 16:21:00,2016-01-28 16:51:00,Business,Raleigh,Cary,15.7,Meeting,Thursday,January,Raleigh - Cary,30.0,16.0,False,False
2016-01-29 09:31:00,2016-01-29 09:45:00,Business,Cary,Cary,4.6,Customer Visit,Friday,January,Cary - Cary,14.0,9.0,False,False
